model_id,car_id,firm_id,price,domestic,japan,european,const,hpwt,air,mpd,space,mpg,trend,year,share,quantity,logit_depvar
AMGREM71,129,15,4.935802469,1,0,0,1,0.528996865,0,1.888145604,1.1502,1.697,0,71,0.001051293,70.096,-6.725221996
AMHORN71,130,15,5.516049383,1,0,0,1,0.494324423,0,1.935989011,1.278,1.74,0,71,0.000670076,44.678,-7.175606516
AMJAVL71,132,15,7.108641975,1,0,0,1,0.46761344,0,1.716799451,1.4592,1.543,0,71,0.000340527,22.705,-7.852502562
AMMATA71,134,15,6.839506173,1,0,0,1,0.426540284,0,1.687870879,1.6068,1.517,0,71,0.000522242,34.821,-7.424867074
AMAMBS71,136,15,8.928395062,1,0,0,1,0.452488688,0,1.504285714,1.6458,1.352,0,71,0.000442423,29.499,-7.590731362
BKSKYL71,138,19,7.15308642,1,0,0,1,0.450870647,0,1.726813187,1.6224,1.552,0,71,0.002756059,183.763,-5.761440843
BKLSAB71,141,19,9.856790123,1,0,0,1,0.564001962,0,1.727925824,1.768,1.553,0,71,0.002650594,176.731,-5.800458924
BKCNTU71,143,19,11.2691358,1,0,0,1,0.731367541,0,2.194120879,1.768,1.972,0,71,0.000487342,32.494,-7.49403227
BKELCT71,144,19,12.13580247,1,0,0,1,0.719013924,0,2.056153846,1.816,1.848,0,71,0.002415127,161.031,-5.893490834
BKRIVE71,145,19,12.97037037,1,0,0,1,0.728323699,0,1.978269231,1.744,1.778,0,71,0.000551398,36.765,-7.370541421
CDCALA71,146,19,15,1,0,0,1,0.732484076,0,1.918186813,1.808,1.724,0,71,0.000127197,8.481,-8.83725936
CDDEVI71,147,19,16.04444444,1,0,0,1,0.729386892,0,1.912623626,1.808,1.719,0,71,0.002704601,180.332,-5.78028813
CDELDR71,148,19,18.22962963,1,0,0,1,0.780748663,0,2.018324176,1.776,1.814,0,71,0.00053412,35.613,-7.402376987
CDFLTW71,149,19,19.16790123,1,0,0,1,0.716510903,0,1.892596154,1.832,1.701,0,71,0.000332863,22.194,-7.875265745
CVVEGA71,150,19,5.160493827,1,0,0,1,0.419384902,0,2.211923077,1.122,1.988,0,71,0.004004934,267.033,-5.387715481
CVNOVA71,151,19,5.938271605,1,0,0,1,0.487231183,0,1.802472527,1.387,1.62,0,71,0.0035328,235.553,-5.513151786
CVCHEV71,153,19,6.609876543,1,0,0,1,0.451713396,0,1.682307692,1.5352,1.512,0,71,0.005029966,335.378,-5.159829473
CVCAMA71,158,19,7.212345679,1,0,0,1,0.468648998,0,1.62,1.41,1.456,0,71,0.001811791,120.803,-6.180926607
CVMNTC71,160,19,8.434567901,1,0,0,1,0.702408257,0,1.604423077,1.5732,1.442,0,71,0.002186499,145.787,-5.992941075
CVBISC71,161,19,7.644444444,1,0,0,1,0.388531618,0,1.4175,1.736,1.274,0,71,0.000380302,25.357,-7.742032901
CVBELA71,163,19,7.982716049,1,0,0,1,0.388531618,0,1.4175,1.736,1.274,0,71,0.000731688,48.786,-7.08764434
CVIMPA71,165,19,8.372839506,1,0,0,1,0.385638298,0,1.406373626,1.736,1.264,0,71,0.008658483,577.313,-4.616703146
CVCAPR71,167,19,10.20740741,1,0,0,1,0.631188119,0,1.463118132,1.736,1.315,0,71,0.002088788,139.272,-6.038658871
CVCORV71,169,19,13.6617284,1,0,0,1,0.843222986,0,1.872568681,1.2627,1.683,0,71,0.000358,23.87,-7.802465287
CRNEWP71,170,16,10.34567901,1,0,0,1,0.659314313,0,1.528763736,1.8,1.374,0,71,0.00103781,69.197,-6.738130218
 CR30071,171,16,11.57283951,1,0,0,1,0.775283499,0,1.65782967,1.8,1.49,0,71,0.000119683,7.98,-8.898149315
CRNEWY71,172,16,12.12345679,1,0,0,1,0.7727797,0,1.893708791,1.8,1.702,0,71,0.000338668,22.581,-7.857978882
DGCOLT71,173,16,4.925925926,1,0,0,1,0.495049505,0,2.330975275,1.0168,2.095,0,71,0.000425655,28.381,-7.62936782
DGDART71,177,16,6.049382716,1,0,0,1,0.431034483,0,1.949340659,1.379,1.752,0,71,0.003120838,208.085,-5.637141077
DGCHLN71,179,16,6.733333333,1,0,0,1,0.413907285,0,1.654491758,1.4784,1.487,0,71,0.000440278,29.356,-7.595590772
DGCORN71,181,16,6.856790123,1,0,0,1,0.446841294,0,1.614436813,1.6146,1.451,0,71,0.001846946,123.147,-6.161708963
DGCHAR71,184,16,6.683950617,1,0,0,1,0.451010886,0,1.544340659,1.5862,1.388,0,71,6.01716E-05,4.012,-9.585797857
DGPOLA71,186,16,8.143209877,1,0,0,1,0.386151798,0,1.378557692,1.768,1.239,0,71,0.001076879,71.802,-6.701175396
DGMONA71,188,16,10.42716049,1,0,0,1,0.679012346,0,1.55657967,1.768,1.399,0,71,0.000273937,18.265,-8.070101067
FDPINT71,190,18,4.738271605,1,0,0,1,0.384812724,0,2.266442308,1.141,2.037,0,71,0.004923436,328.275,-5.181236055
FDMAVE71,192,18,5.518518519,1,0,0,1,0.384172109,0,2.130700549,1.3277,1.915,0,71,0.00371387,247.626,-5.463168184
FDTORI71,194,18,6.597530864,1,0,0,1,0.46429715,0,1.711236264,1.5939,1.538,0,71,0.004030326,268.726,-5.381395454
FDMUST71,197,18,7.187654321,1,0,0,1,0.497768623,0,1.732376374,1.425,1.557,0,71,0.001843737,122.933,-6.163448235
FDCUST71,201,18,8.118518519,1,0,0,1,0.380952381,0,1.458667582,1.736,1.311,0,71,0.000509104,33.945,-7.450346159
FDGALA71,203,18,8.874074074,1,0,0,1,0.376850606,0,1.443090659,1.736,1.297,0,71,0.003308117,220.572,-5.578863555
 FDLTD71,205,18,9.70617284,1,0,0,1,0.602863602,0,1.447541209,1.736,1.301,0,71,0.004815121,321.053,-5.203481508
FDTHNB71,207,18,13.07407407,1,0,0,1,0.820232399,0,2.050590659,1.677,1.843,0,71,0.000577254,38.489,-7.324715241
LCCONT71,209,18,18.31851852,1,0,0,1,0.719637224,0,2.079519231,1.8,1.869,0,71,0.000536955,35.802,-7.397083969
LCMRKI71,210,18,21.76049383,1,0,0,1,0.729562263,0,1.970480769,1.736,1.771,0,71,0.000447357,29.828,-7.579640177
MCCOME71,212,18,5.637037037,1,0,0,1,0.382848392,0,2.127362637,1.3419,1.912,0,71,0.000935464,62.373,-6.841955237
MCMONT71,214,18,6.859259259,1,0,0,1,0.449194548,0,1.648928571,1.638,1.482,0,71,0.000861284,57.427,-6.924573151
MCCOUG71,216,18,8.120987654,1,0,0,1,0.720504353,0,1.65782967,1.4972,1.49,0,71,0.0007476,49.847,-7.066129413
MCMONT71,217,18,9.525925926,1,0,0,1,0.59568131,0,1.533214286,1.8,1.378,0,71,0.000468909,31.265,-7.532588466
MCMARQ71,218,18,11.04691358,1,0,0,1,0.598251266,0,1.630013736,1.8,1.465,0,71,0.001127797,75.197,-6.65497639
ODCUTL71,221,19,7.404938272,1,0,0,1,0.445879459,0,1.86478022,1.6016,1.676,0,71,0.003766573,251.14,-5.449077174
ODDELT71,224,19,9.839506173,1,0,0,1,0.578313253,0,1.730151099,1.768,1.555,0,71,0.001700042,113.352,-6.244589706
  OD9871,226,19,11.98024691,1,0,0,1,0.71636445,0,1.862554945,1.7933,1.674,0,71,0.001699202,113.296,-6.245083864
ODTORN71,227,19,13.47407407,1,0,0,1,0.773993808,0,1.920412088,1.76,1.726,0,71,0.000580734,38.721,-7.318705638
PLVALA71,231,16,5.90617284,1,0,0,1,0.440917108,0,1.852541209,1.3608,1.665,0,71,0.003695738,246.417,-5.468062504
PLBARC71,233,16,6.55308642,1,0,0,1,0.415282392,0,1.667843407,1.4025,1.499,0,71,0.00028865,19.246,-8.01778448
PLSATL71,236,16,6.750617284,1,0,0,1,0.446291167,0,1.602197802,1.6195,1.44,0,71,0.001725508,115.05,-6.22972091
PLFURY71,240,16,7.767901235,1,0,0,1,0.391363023,0,1.4175,1.728,1.274,0,71,0.000429555,28.641,-7.620248469
PTVNTU71,243,19,6.143209877,1,0,0,1,0.620181026,0,1.746840659,1.4235,1.57,0,71,0.000718339,47.896,-7.106055733
PTLEMA71,245,19,7.222222222,1,0,0,1,0.449055435,0,1.65782967,1.5939,1.49,0,71,0.002444403,162.983,-5.881441826
PTFIRB71,248,19,7.52345679,1,0,0,1,0.458280657,0,1.604423077,1.4208,1.442,0,71,0.000791079,52.746,-7.009599787
PTCATL71,250,19,9.308641975,1,0,0,1,0.613195977,0,1.469793956,1.768,1.321,0,71,0.002407193,160.502,-5.896781323
PTBNNV71,251,19,10.39506173,1,0,0,1,0.664609542,0,1.534326923,1.8,1.379,0,71,0.000606215,40.42,-7.275763015
PTGRNP71,253,19,11.25185185,1,0,0,1,0.776598499,0,1.733489011,1.6401,1.558,0,71,0.001058567,70.581,-6.71832674
ADSUPE71,1474,7,7.641975309,0,0,1,1,0.465766185,0,2.201909341,1.1136,1.979,0,71,3.76447E-05,2.51,-10.05480497
AD100L71,1475,7,8.87654321,0,0,1,1,0.487908358,0,1.98271978,1.2627,1.782,0,71,0.000281016,18.737,-8.044587548
CPSC2071,1478,25,6.037037037,0,0,1,1,0.373878365,0,2.332087912,1.092,2.096,0,71,0.000636526,42.441,-7.226972851
DTCB1171,1479,2,4.286419753,0,1,0,1,0.428481411,0,2.79717033,0.906,2.514,0,71,0.000798278,53.226,-7.000540728
DTPL5171,1480,2,5.234567901,0,1,0,1,0.439350525,0,2.470054945,0.992,2.22,0,71,0.001576174,105.093,-6.320242054
 FT85071,1481,17,3.839506173,0,0,1,1,0.277777778,0,2.789381868,0.7896,2.507,0,71,3.75097E-05,2.501,-10.05839708
 FT12471,1482,17,5.138271605,0,0,1,1,0.37593985,0,2.438901099,1.0368,2.192,0,71,9.85812E-05,6.573,-9.092117378
 HD60071,1484,3,3.444444444,0,1,0,1,0.24375,0,2.836112637,0.8586,2.549,0,71,0.000142615,9.509,-8.722849008
 MZ61671,1485,4,5.419753086,0,1,0,1,0.436724566,0,2.542376374,1.0106,2.285,0,71,4.50387E-05,3.003,-9.875475938
MB220/71,1487,9,13.11604938,0,0,1,1,0.409722222,0,1.858104396,1.295,1.67,0,71,4.06143E-05,2.708,-9.978877372
MB220071,1488,9,13.38024691,0,0,1,1,0.398514016,0,1.820274725,1.295,1.636,0,71,9.02274E-05,6.016,-9.18066514
MB256/71,1489,9,15.74814815,0,0,1,1,0.525259284,0,1.530989011,1.295,1.376,0,71,9.95561E-05,6.638,-9.082277014
MB280S71,1491,9,18.44197531,0,0,1,1,0.62262193,0,1.650041209,1.183,1.483,0,71,0.00021492,14.33,-8.312732485
  OP3671,1492,26,4.698765432,0,0,1,1,0.333531864,0,2.612472527,1.053,2.348,0,71,3.29804E-05,2.199,-10.18708502
 PG50471,1493,14,8.587654321,0,0,1,1,0.364356436,0,2.087307692,1.1682,1.876,0,71,5.34825E-05,3.566,-9.703643207
 PS91471,1494,12,8.87654321,0,0,1,1,0.430816016,0,2.280906593,1.0205,2.05,0,71,0.000157943,10.531,-8.620764439
 PS91171,1496,12,16.03703704,0,0,1,1,0.634495085,0,1.952678571,1.0496,1.755,0,71,7.99088E-05,5.328,-9.302111794
 RNR1071,1497,24,4.555555556,0,0,1,1,0.293654955,0,2.553502747,1.002,2.295,0,71,0.000110475,7.366,-8.978212909
